mine_id,mine_name,state,district,latitude,longitude,mine_type,operational_status,opening_date,closure_date,lease_area_ha,coal_seam_thickness,production_capacity,owner_company,contact_phone,email,address
JH-001,Bharat Coal Fields - Bokaro,Jharkhand,Bokaro,23.6667,85.95,Open Cast,Active,1972-03-15,,4500.0,12.5,15000,Bharat Coal Corporation Ltd,+919876543210,bcc.bokaro@bharatcoal.in,"Plot No. 45, Bokaro Steel City, Jharkhand - 827001"
JH-002,Dhanbad Central Mine,Jharkhand,Dhanbad,23.8,86.45,Underground,Active,1956-11-20,,3200.0,8.2,8000,Dhanbad Coal Mines Pvt Ltd,+919876543211,dcm.dhanbad@coalmines.in,"Dhanbad Coalfields, Jharkhand - 826001"
JH-003,Giridih East Mine,Jharkhand,Giridih,24.1833,86.3,Open Cast,Active,1985-07-10,,5800.0,15.0,20000,Giridih Mining Co,+919876543212,gmc.giridih@miningcorp.com,"Giridih District, Jharkhand - 815301"
JH-004,Ramgarh West Mine,Jharkhand,Ramgarh,23.65,85.5167,Underground,Active,1968-09-25,,2800.0,6.5,6000,Ramgarh Coal Ltd,+919876543213,rcl.ramgarh@coalindustry.in,"Ramgarh Cantonment, Jharkhand - 825101"
JH-005,Koderma North Mine,Jharkhand,Koderma,24.4667,85.6,Open Cast,Suspended,1990-04-01,,3500.0,9.8,9000,Koderma Mining Solutions,+919876543214,kms.koderma@minesolutions.com,"Koderma, Jharkhand - 825401"
OD-001,Angul Super Thermal Mine,Odisha,Angul,21.25,85.1,Open Cast,Active,1980-01-15,,6500.0,18.0,25000,Angul Coal Power Ltd,+919876543215,acp.angul@powercoal.in,"Angul District, Odisha - 759101"
OD-002,Jharsuguda Mega Mine,Odisha,Jharsuguda,21.85,84.0167,Open Cast,Active,1995-08-20,,7200.0,20.0,30000,Jharsuguda Mining Corp,+919876543216,jmc.jharsuguda@miningcorp.in,"Jharsuguda, Odisha - 768201"
OD-003,Sundargarh Central Mine,Odisha,Sundargarh,22.1167,84.0,Underground,Active,1978-12-05,,4200.0,10.5,12000,Sundargarh Coal Ltd,+919876543217,scl.sundargarh@coalodisha.in,"Sundargarh, Odisha - 770001"
CG-001,Korba Super Mine,Chhattisgarh,Korba,22.35,82.7,Open Cast,Active,1975-05-20,,9000.0,25.0,40000,Korba Coal Mines,+919876543220,kcmines.korba@cgcoal.in,"Korba, Chhattisgarh - 495001"
CG-002,Raigarh Power Mine,Chhattisgarh,Raigarh,22.0,83.4,Open Cast,Active,1992-09-10,,7500.0,20.0,32000,Raigarh Energy Ltd,+919876543221,rel.raigarh@energycoal.com,"Raigarh, Chhattisgarh - 496001"
