production_id,mine_id,month_year,target_production,actual_production,dispatch,coal_grade,equipment_downtime_hours,downtime_reason,created_at,updated_at
PM-JH-001-20230101,JH-001,2023-01-01,450000,468822,445967,C,11.8,Planned maintenance,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-JH-001-20230201,JH-001,2023-02-01,450000,481923,474132,E,4.2,Equipment breakdown,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-JH-001-20230301,JH-001,2023-03-01,450000,386790,369262,B,24.3,Planned maintenance,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-JH-001-20230401,JH-001,2023-04-01,450000,458268,451761,E,20.1,Equipment breakdown,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-JH-001-20230501,JH-001,2023-05-01,450000,462050,457647,A,36.4,Planned maintenance,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-JH-001-20230601,JH-001,2023-06-01,450000,476748,461021,B,10.3,Equipment breakdown,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-JH-001-20230701,JH-001,2023-07-01,450000,396298,384011,C,40.7,Weather delay,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-JH-001-20230801,JH-001,2023-08-01,450000,418210,398208,D,25.7,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-JH-001-20230901,JH-001,2023-09-01,450000,393138,379244,E,42.5,Equipment breakdown,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-JH-001-20231001,JH-001,2023-10-01,450000,460442,453640,A,31.7,Equipment breakdown,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-JH-001-20231101,JH-001,2023-11-01,450000,515504,511774,A,18.2,Equipment breakdown,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-JH-001-20231201,JH-001,2023-12-01,450000,468317,453444,C,17.1,Weather delay,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-JH-001-20240101,JH-001,2024-01-01,450000,418542,417216,A,29.2,Planned maintenance,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-JH-001-20240201,JH-001,2024-02-01,450000,454608,437442,D,18.2,Weather delay,2024-02-06 00:00:00,2024-02-06 00:00:00
