inspection_id,mine_id,inspection_date,inspection_time,inspector_id,inspector_name,inspector_role,requirement_id,checklist_item,response,observations,observations_hindi,severity,photo_reference,latitude,longitude,sync_status,sync_timestamp
INS-OD-002-0000,OD-002,2023-05-31,10:06:00,INS-001,Rajesh Kumar,Safety Officer,REQ-042,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0000.jpg,23.5928161,86.1397648,Pending,
INS-OD-001-0001,OD-001,2023-01-22,23:55:00,INS-002,Sita Devi,Environmental Officer,REQ-079,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,,23.8042125,85.8133111,Failed,
INS-CG-001-0002,CG-001,2023-03-23,00:09:00,INS-003,Amit Patel,Labour Inspector,REQ-087,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,Medium,,23.9452154,85.8163285,Pending,
INS-OD-002-0003,OD-002,2023-01-17,19:09:00,INS-003,Amit Patel,Labour Inspector,REQ-058,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0003.jpg,23.7406218,85.9794599,Pending,
INS-JH-003-0004,JH-003,2023-11-29,08:15:00,INS-001,Rajesh Kumar,Safety Officer,REQ-004,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,PHOTO-JH-003-0004.jpg,23.284461,86.2249645,Failed,
INS-OD-001-0005,OD-001,2023-04-20,19:18:00,INS-003,Amit Patel,Labour Inspector,REQ-063,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Medium,PHOTO-OD-001-0005.jpg,23.6187427,86.348679,Pending,
INS-JH-001-0006,JH-001,2023-12-16,10:42:00,INS-002,Sita Devi,Environmental Officer,REQ-091,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,High,PHOTO-JH-001-0006.jpg,24.0180621,86.1618091,Failed,
INS-CG-001-0007,CG-001,2023-03-31,11:32:00,INS-001,Rajesh Kumar,Safety Officer,REQ-016,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Medium,PHOTO-CG-001-0007.jpg,23.192984,86.0040214,Pending,
INS-OD-001-0008,OD-001,2023-10-10,04:39:00,INS-001,Rajesh Kumar,Safety Officer,REQ-009,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-001-0008.jpg,23.9358646,86.2733394,Synced,2023-10-10 04:00:00
INS-JH-003-0009,JH-003,2023-11-25,02:28:00,INS-002,Sita Devi,Environmental Officer,REQ-088,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-JH-003-0009.jpg,23.9469629,86.0897939,Synced,2023-11-26 00:00:00
INS-JH-002-0010,JH-002,2023-08-10,16:58:00,INS-001,Rajesh Kumar,Safety Officer,REQ-016,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,,23.4893608,86.1593321,Pending,
INS-OD-002-0011,OD-002,2023-05-26,02:16:00,INS-001,Rajesh Kumar,Safety Officer,REQ-082,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-OD-002-0011.jpg,23.7811283,85.5434284,Failed,
INS-JH-002-0012,JH-002,2023-10-31,18:09:00,INS-001,Rajesh Kumar,Safety Officer,REQ-085,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-JH-002-0012.jpg,23.730318,86.2752363,Synced,2023-10-31 02:00:00
INS-JH-001-0013,JH-001,2023-11-25,18:16:00,INS-003,Amit Patel,Labour Inspector,REQ-027,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Low,PHOTO-JH-001-0013.jpg,23.793864,85.7396717,Pending,
INS-OD-001-0014,OD-001,2023-05-06,21:25:00,INS-002,Sita Devi,Environmental Officer,REQ-059,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,,23.5823217,85.9144422,Pending,
INS-OD-002-0015,OD-002,2023-03-15,10:55:00,INS-003,Amit Patel,Labour Inspector,REQ-041,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Medium,PHOTO-OD-002-0015.jpg,23.6816801,85.5561839,Synced,2023-03-15 14:00:00
INS-JH-001-0016,JH-001,2023-05-17,14:15:00,INS-001,Rajesh Kumar,Safety Officer,REQ-013,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Critical,PHOTO-JH-001-0016.jpg,23.5848347,86.4126859,Synced,2023-05-17 10:00:00
