contractor_id,contractor_name,registration_number,contract_start_date,contract_end_date,contract_value,work_scope,worker_count,training_percentage,licence_number,licence_expiry,insurance_number,insurance_expiry,violations_count,risk_rating,address,phone,email
CON-001,XYZ Mining Corp,REG-001-2020,2020-08-10,2022-08-10,18549891.68,Transport Services,216,85.16,LIC-001,2022-10-03,INS-001,2022-10-31,5,Medium,"709 Mining Colony, Korba, Odisha - 240879",+91987657519194,contact@xyzminingcorp.com
CON-002,PQR Mining Services,REG-002-2020,2021-02-19,2024-02-19,2846989.05,Maintenance Services,37,77.39,LIC-002,2024-11-07,INS-002,2024-09-21,11,Critical,"514 Mining Colony, Bokaro, Chhattisgarh - 459704",+91987656853325,contact@pqrminingservices.com
CON-003,LMN Mining Corp,REG-003-2020,2021-09-14,2023-09-14,41635352.11,Safety Services,232,97.01,LIC-003,2023-12-20,INS-003,2024-01-10,9,Critical,"640 Mining Colony, Korba, Jharkhand - 228720",+91987654356696,contact@lmnminingcorp.com
CON-004,DEF Mining Services,REG-004-2020,2021-10-11,2024-10-10,34902635.43,Maintenance Services,140,89.46,LIC-004,2025-03-19,INS-004,2025-02-28,3,Medium,"613 Mining Colony, Bokaro, Odisha - 709961",+91987658350925,contact@defminingservices.com
CON-005,ABC Mining Corp,REG-005-2020,2020-03-12,2022-03-12,12990416.6,Drilling Services,39,83.09,LIC-005,2023-02-15,INS-005,2022-08-03,7,High,"733 Mining Colony, Korba, Chhattisgarh - 985552",+91987657835192,contact@abcminingcorp.com
CON-006,XYZ Mining Services,REG-006-2020,2021-10-22,2022-10-22,20427601.53,Safety Services,278,95.27,LIC-006,2023-08-21,INS-006,2022-12-15,10,Critical,"83 Mining Colony, Bokaro, Jharkhand - 675586",+91987657813127,contact@xyzminingservices.com
CON-007,PQR Mining Corp,REG-007-2020,2021-11-22,2022-11-22,21161987.41,Maintenance Services,122,78.01,LIC-007,2023-02-04,INS-007,2023-01-19,5,Medium,"873 Mining Colony, Korba, Odisha - 457197",+91987656406464,contact@pqrminingcorp.com
CON-008,LMN Mining Services,REG-008-2020,2021-05-14,2023-05-14,13933952.62,Maintenance Services,160,73.95,LIC-008,2024-05-05,INS-008,2024-05-10,7,High,"899 Mining Colony, Bokaro, Chhattisgarh - 957120",+91987658601514,contact@lmnminingservices.com
CON-009,DEF Mining Corp,REG-009-2020,2020-10-29,2022-10-29,32048567.47,Excavation Services,254,97.94,LIC-009,2022-12-30,INS-009,2023-03-06,7,High,"865 Mining Colony, Korba, Jharkhand - 459436",+91987656707484,contact@defminingcorp.com
CON-010,ABC Mining Services,REG-010-2020,2020-11-08,2025-11-07,48646291.82,Maintenance Services,77,77.91,LIC-010,2026-03-30,INS-010,2026-07-06,4,Medium,"955 Mining Colony, Bokaro, Odisha - 658182",+91987659636069,contact@abcminingservices.com
CON-011,XYZ Mining Corp,REG-011-2020,2020-08-24,2024-08-23,5087682.99,Maintenance Services,181,96.9,LIC-011,2025-07-25,INS-011,2024-09-27,8,High,"526 Mining Colony, Korba, Chhattisgarh - 757370",+91987658010704,contact@xyzminingcorp.com
CON-012,PQR Mining Services,REG-012-2020,2021-12-07,2022-12-07,3918716.72,Drilling Services,208,73.23,LIC-012,2023-10-03,INS-012,2023-10-17,2,Low,"572 Mining Colony, Bokaro, Jharkhand - 216345",+91987656618903,contact@pqrminingservices.com
CON-013,LMN Mining Corp,REG-013-2020,2020-02-16,2022-02-15,37839029.24,Drilling Services,140,77.86,LIC-013,2022-04-21,INS-013,2022-05-14,0,Low,"176 Mining Colony, Korba, Odisha - 283076",+91987650559473,contact@lmnminingcorp.com
CON-014,DEF Mining Services,REG-014-2020,2020-03-16,2022-03-16,28576493.14,Excavation Services,230,70.75,LIC-014,2023-02-02,INS-014,2022-06-25,2,Low,"942 Mining Colony, Bokaro, Chhattisgarh - 653178",+91987653170396,contact@defminingservices.com
CON-015,ABC Mining Corp,REG-015-2020,2021-04-14,2022-04-14,37331586.12,Safety Services,269,97.8,LIC-015,2022-12-14,INS-015,2022-09-16,3,Medium,"153 Mining Colony, Korba, Jharkhand - 692217",+91987653284770,contact@abcminingcorp.com
CON-016,XYZ Mining Services,REG-016-2020,2020-08-15,2021-08-15,45188181.28,Excavation Services,98,94.31,LIC-016,2021-12-10,INS-016,2022-06-18,11,Critical,"331 Mining Colony, Bokaro, Odisha - 270935",+91987652012071,contact@xyzminingservices.com
