attendance_id,worker_id,mine_id,shift_date,shift_type,attendance_status,check_in_time,check_out_time,training_status,training_expiry,medical_fitness,medical_expiry,ppe_status,ppe_issues
ATT-00000,WRK-5438,OD-001,2023-02-18,Morning,Present,06:24:00,14:15:00,Certified,2023-12-14,Fit,2023-09-23,Partial,Boots missing
ATT-00001,WRK-0033,JH-002,2023-02-09,Night,Absent,,,Pending,2023-01-10,Unfit,2023-01-12,Partial,Helmet missing
ATT-00002,WRK-5516,OD-001,2023-03-07,Afternoon,On Leave,,,Pending,2023-03-05,Fit,2023-06-25,Compliant,
ATT-00003,WRK-3385,JH-003,2023-03-03,Morning,Present,08:52:00,16:38:00,Certified,2023-06-23,Fit,2023-11-04,Compliant,
ATT-00004,WRK-7666,CG-002,2023-01-23,Night,Present,22:11:00,07:05:00,Certified,2023-09-15,Fit,2023-11-14,Compliant,
ATT-00005,WRK-8988,JH-001,2023-01-08,Afternoon,Present,14:48:00,22:51:00,Pending,2023-01-06,Unfit,2022-12-18,Compliant,
ATT-00006,WRK-1033,JH-002,2023-01-19,Morning,Present,07:34:00,15:50:00,Pending,2022-12-25,Fit,2024-01-12,Compliant,
ATT-00007,WRK-5103,OD-002,2023-02-06,Night,Present,22:48:00,08:26:00,Certified,2024-01-21,Fit,2023-07-11,Compliant,
ATT-00008,WRK-0757,OD-002,2023-01-14,Morning,Present,08:29:00,16:42:00,Certified,2023-05-30,Fit,2023-08-28,Compliant,
ATT-00009,WRK-1738,JH-003,2023-01-11,Afternoon,Present,14:36:00,23:08:00,Pending,2023-01-09,Fit,2023-11-03,Non-Compliant,Boots missing
ATT-00010,WRK-8788,OD-002,2023-03-14,Morning,Present,06:01:00,16:19:00,Pending,2023-02-18,Pending,2023-02-18,Compliant,
ATT-00011,WRK-1788,CG-001,2023-02-06,Night,Present,22:18:00,06:22:00,Certified,2023-09-02,Unfit,2023-01-12,Partial,None
ATT-00012,WRK-1654,CG-002,2023-03-19,Afternoon,Absent,,,Pending,2023-02-25,Fit,2023-11-25,Partial,None
ATT-00013,WRK-5937,JH-002,2023-01-29,Afternoon,Present,16:38:00,23:08:00,Certified,2023-10-07,Fit,2023-10-25,Partial,Helmet missing
ATT-00014,WRK-4594,JH-001,2023-01-13,Morning,Present,08:55:00,14:20:00,Certified,2023-07-08,Fit,2023-07-21,Compliant,
ATT-00015,WRK-6531,JH-002,2023-03-18,Afternoon,Present,16:18:00,22:22:00,Certified,2023-12-22,Fit,2023-11-25,Compliant,
ATT-00016,WRK-7070,JH-002,2023-02-08,Night,Present,23:42:00,06:03:00,Certified,2023-05-24,Fit,2023-12-31,Partial,None
ATT-00017,WRK-6203,CG-001,2023-02-28,Night,Absent,,,Certified,2023-12-08,Fit,2024-02-12,Compliant,
ATT-00018,WRK-8389,JH-003,2023-03-21,Morning,Present,07:08:00,14:36:00,Certified,2023-10-09,Fit,2023-08-16,Compliant,
