reading_id,mine_id,reading_date,reading_time,parameter,sub_parameter,value,unit,permissible_limit,exceedance,location,latitude,longitude,equipment_id,recorded_by
ER-000000,OD-001,2023-06-24,20:26:00,Dust,PM2.5,59.2,mg/m³,60,False,Crusher Area,23.2309839,85.7272286,SENS-PM2-094,Rajesh Kumar
ER-000001,JH-001,2023-06-06,09:30:00,Water,TSS,85.8,mg/m³,100,False,Crusher Area,23.8158104,85.6022027,SENS-TSS-058,Rajesh Kumar
ER-000002,OD-001,2023-10-16,10:07:00,Groundwater,Level,89.9,m,100,False,Effluent Treatment,23.4638738,86.1296671,SENS-Lev-095,Rajesh Kumar
ER-000003,JH-002,2023-11-23,02:17:00,Noise,SPL,81.5,dB,85,False,Drill Site,23.8890356,85.9288753,SENS-SPL-063,Amit Patel
ER-000004,JH-001,2023-10-11,20:07:00,Groundwater,Level,50.5,m,100,False,Effluent Treatment,23.6794746,85.8273414,SENS-Lev-049,Sita Devi
ER-000005,OD-001,2023-11-14,01:43:00,Groundwater,Level,99.7,m,100,False,Effluent Treatment,23.6997078,85.7966078,SENS-Lev-015,Rajesh Kumar
ER-000006,OD-001,2023-06-03,06:39:00,Air Quality,NOx,63.6,mg/m³,80,False,Effluent Treatment,23.3758339,85.5691561,SENS-NOx-067,Sita Devi
ER-000007,JH-003,2023-10-20,19:19:00,Water,pH,6.6,,9,False,Crusher Area,23.3282108,85.6024402,SENS-pH-011,Amit Patel
ER-000008,CG-002,2023-05-14,10:01:00,Groundwater,Level,119.9,m,100,True,Pit Area,23.5996962,86.2035595,SENS-Lev-094,Amit Patel
ER-000009,CG-001,2023-06-18,13:34:00,Noise,SPL,51.8,dB,85,False,Effluent Treatment,23.6868693,86.0352219,SENS-SPL-027,Sita Devi
ER-000010,CG-001,2023-04-16,23:17:00,Dust,PM2.5,40.9,mg/m³,60,False,Crusher Area,24.1414283,85.6455534,SENS-PM2-087,Rajesh Kumar
ER-000011,CG-002,2023-03-09,23:43:00,Groundwater,Level,94.9,m,100,False,Effluent Treatment,23.6539288,86.0197017,SENS-Lev-034,Rajesh Kumar
ER-000012,CG-002,2023-02-15,18:56:00,Water,pH,5.2,,9,False,Effluent Treatment,23.1782316,86.2073018,SENS-pH-087,Rajesh Kumar
