equipment_id,mine_id,equipment_name,equipment_type,manufacturer,model,year_manufactured,operating_hours,last_maintenance_date,next_maintenance_date,fuel_type,fuel_consumption,breakdown_count,last_breakdown_date,breakdown_reason,sensor_anomalies,status
EQ-000,JH-002,Drill Rig 0,Drill Rig,Atlas Copco,Atl-1047,2014,17246,2023-05-19,2023-10-24,Diesel,59.11,0,,,0,Operational
EQ-001,JH-001,Roof Bolter 1,Roof Bolter,Sandvik,San-2889,2012,7010,2023-02-01,2023-05-15,Electric,0,9,2023-01-23,Hydraulic leak,6,Operational
EQ-002,JH-001,Excavator 2,Excavator,Sandvik,San-5254,2010,29652,2023-12-07,2024-01-30,Diesel,38.52,5,2023-11-13,Jam,4,Operational
EQ-003,CG-001,Excavator 3,Excavator,Ashok Leyland,Ash-4350,2017,28848,2023-02-02,2023-06-28,Diesel,36.04,7,2023-01-08,Jam,8,Operational
EQ-004,CG-001,Excavator 4,Excavator,Sandvik,San-5729,2010,17262,2023-08-31,2024-02-14,Diesel,27.29,0,,,2,Operational
EQ-005,JH-001,Loader 5,Loader,Tata,Tat-2892,2018,14835,2023-04-14,2023-09-01,Diesel,40.23,7,2023-04-03,Jam,7,Broken
EQ-006,JH-003,Conveyor Belt 6,Conveyor Belt,Caterpillar,Cat-7198,2012,34525,2023-06-06,2023-07-07,Electric,0,1,2023-05-14,Jam,2,Operational
EQ-007,JH-003,Roof Bolter 7,Roof Bolter,Komatsu,Kom-4002,2012,22554,2023-11-28,2024-02-29,Electric,0,4,2023-11-13,Jam,2,Operational
EQ-008,OD-001,Drill Rig 8,Drill Rig,Komatsu,Kom-6546,2019,32083,2023-09-21,2023-12-19,Electric,0,8,2023-09-11,Electrical fault,5,Operational
EQ-009,OD-002,Compressor 9,Compressor,Volvo,Vol-7347,2011,13531,2023-05-06,2023-08-22,Diesel,26.46,4,2023-04-06,Jam,2,Operational
EQ-010,JH-003,Conveyor Belt 10,Conveyor Belt,Tata,Tat-9913,2014,23484,2023-03-26,2023-08-13,Electric,0,7,2023-03-03,Electrical fault,14,Operational
EQ-011,JH-002,Drill Rig 11,Drill Rig,Volvo,Vol-9633,2012,31764,2023-04-23,2023-09-30,Electric,0,2,2023-03-27,Jam,7,Operational
EQ-012,OD-001,Compressor 12,Compressor,Sandvik,San-6741,2020,14936,2023-05-26,2023-10-08,Diesel,48.57,9,2023-05-04,Electrical fault,15,Operational
EQ-013,JH-002,Conveyor Belt 13,Conveyor Belt,Sandvik,San-2579,2018,18595,2023-02-07,2023-05-06,Diesel,44.35,7,2023-02-02,Engine issue,5,Operational
EQ-014,OD-001,Compressor 14,Compressor,Tata,Tat-7032,2022,10566,2023-02-25,2023-06-13,Diesel,27.58,9,2023-02-23,Hydraulic leak,5,Operational
EQ-015,JH-001,Compressor 15,Compressor,Komatsu,Kom-3875,2022,7060,2023-03-15,2023-08-06,Diesel,41.68,10,2023-03-04,Engine issue,6,Operational
EQ-016,CG-002,Excavator 16,Excavator,Ashok Leyland,Ash-9288,2010,15331,2023-12-29,2024-05-09,Electric,0,6,2023-12-08,Electrical fault,3,Operational
EQ-017,OD-002,Compressor 17,Compressor,Metso,Met-5157,2016,28200,2023-03-07,2023-06-08,Electric,0,7,2023-02-18,Electrical fault,4,Operational
EQ-018,JH-002,Loader 18,Loader,Tata,Tat-8084,2022,27529,2023-04-03,2023-07-27,Electric,0,7,2023-03-17,Hydraulic leak,12,Operational
EQ-019,CG-001,Roof Bolter 19,Roof Bolter,Caterpillar,Cat-3312,2014,23724,2023-08-05,2023-11-17,Electric,0,4,2023-07-24,Electrical fault,9,Operational
EQ-020,JH-002,Compressor 20,Compressor,Ashok Leyland,Ash-4065,2023,12372,2023-07-11,2023-10-19,Diesel,39.05,7,2023-06-20,Jam,7,Operational
EQ-021,OD-001,Excavator 21,Excavator,Caterpillar,Cat-2840,2018,32657,2023-02-24,2023-08-04,Electric,0,0,,,9,Operational
EQ-022,OD-001,Roof Bolter 22,Roof Bolter,Atlas Copco,Atl-7354,2019,28416,2023-06-12,2023-09-26,Diesel,30.48,5,2023-06-11,Electrical fault,11,Maintenance
EQ-023,JH-002,Loader 23,Loader,Sandvik,San-9960,2012,21241,2023-05-13,2023-08-11,Electric,0,6,2023-05-03,Engine issue,10,Operational
EQ-024,CG-001,Roof Bolter 24,Roof Bolter,Atlas Copco,Atl-3590,2014,19133,2023-11-17,2023-12-24,Electric,0,6,2023-10-25,Jam,4,Operational
EQ-025,JH-002,Excavator 25,Excavator,Caterpillar,Cat-9105,2015,5529,2023-10-22,2023-12-19,Electric,0,3,2023-10-01,Electrical fault,3,Operational
EQ-026,OD-001,Dumper 26,Dumper,Metso,Met-5018,2016,17719,2023-07-02,2023-09-08,Electric,0,7,2023-06-27,Engine issue,8,Operational
EQ-027,JH-002,Crusher 27,Crusher,Metso,Met-2030,2016,9039,2023-10-07,2024-02-27,Electric,0,4,2023-09-10,Engine issue,6,Operational
EQ-028,JH-002,Loader 28,Loader,Komatsu,Kom-1464,2014,21100,2023-03-30,2023-08-10,Diesel,55.03,10,2023-03-27,Engine issue,2,Operational
EQ-029,JH-002,Compressor 29,Compressor,Volvo,Vol-6677,2014,19594,2023-05-26,2023-11-02,Electric,0,10,2023-05-23,Electrical fault,7,Operational
EQ-030,CG-001,Loader 30,Loader,Sandvik,San-4033,2020,24017,2023-05-20,2023-08-23,Diesel,55.64,1,2023-04-27,Hydraulic leak,13,Operational
EQ-031,JH-001,Loader 31,Loader,Volvo,Vol-8632,2018,24767,2023-07-07,2023-09-10,Electric,0,3,2023-06-25,Engine issue,12,Operational
EQ-032,JH-003,Crusher 32,Crusher,Sandvik,San-8114,2010,17199,2023-07-20,2023-10-26,Electric,0,4,2023-07-12,Engine issue,3,Operational
EQ-033,OD-001,Conveyor Belt 33,Conveyor Belt,Sandvik,San-3494,2021,5330,2023-10-10,2024-03-27,Electric,0,9,2023-10-01,Engine issue,3,Operational
EQ-034,JH-002,Drill Rig 34,Drill Rig,Metso,Met-5844,2019,34048,2023-12-02,2024-01-04,Electric,0,8,2023-11-27,Engine issue,4,Operational
EQ-035,OD-001,Compressor 35,Compressor,Volvo,Vol-4314,2023,5475,2023-03-02,2023-05-20,Diesel,52.26,7,2023-02-06,Electrical fault,4,Broken
EQ-036,CG-002,Dumper 36,Dumper,Ashok Leyland,Ash-1572,2023,8854,2023-03-10,2023-08-21,Electric,0,2,2023-03-04,Electrical fault,0,Operational
EQ-037,JH-003,Roof Bolter 37,Roof Bolter,Sandvik,San-7154,2018,23263,2023-08-19,2023-09-30,Diesel,28.25,4,2023-07-25,Engine issue,2,Operational
EQ-038,JH-003,Roof Bolter 38,Roof Bolter,Atlas Copco,Atl-9309,2015,23982,2023-08-30,2023-12-27,Diesel,59.91,4,2023-08-15,Hydraulic leak,6,Operational
