document_id,mine_id,document_type,document_number,issue_date,expiry_date,issuing_authority,ocr_text_status,verification_status,file_path,file_size_kb,uploaded_by,uploaded_date
DOC-00000,OD-002,Insurance Certificate,Ins-0000-2023,2022-01-11,2026-01-10,State PCB,Extracted,Expired,/documents/insurance_certificate/OD-002/0000.pdf,2823,Sita Devi,2022-02-10 00:00:00
DOC-00001,,Mining Lease,Min-0001-2023,2023-10-31,2027-10-30,CPCB,Extracted,Verified,/documents/mining_lease/global/0001.pdf,4330,Rajesh Kumar,2023-11-23 00:00:00
DOC-00002,OD-002,Audit Report,Aud-0002-2023,2023-06-27,2025-06-26,Insurance Company,Extracted,Expired,/documents/audit_report/OD-002/0002.pdf,4927,Sita Devi,2023-07-13 00:00:00
DOC-00003,CG-001,Safety Certificate,Saf-0003-2023,2023-02-27,2024-02-27,Insurance Company,Extracted,Expired,/documents/safety_certificate/CG-001/0003.pdf,3325,Rajesh Kumar,2023-03-24 00:00:00
DOC-00004,JH-002,Fire Safety Certificate,Fir-0004-2023,2023-08-20,2027-08-19,CPCB,Extracted,Verified,/documents/fire_safety_certificate/JH-002/0004.pdf,2326,Rajesh Kumar,2023-09-02 00:00:00
DOC-00005,CG-002,First Aid Certificate,Fir-0005-2023,2022-02-12,2027-02-11,State PCB,Extracted,Verified,/documents/first_aid_certificate/CG-002/0005.pdf,2812,Rajesh Kumar,2022-03-06 00:00:00
DOC-00006,JH-003,Safety Certificate,Saf-0006-2023,2023-07-19,2028-07-17,DGMS,Extracted,Pending,/documents/safety_certificate/JH-003/0006.pdf,1459,Rajesh Kumar,2023-08-15 00:00:00
DOC-00007,CG-001,Environmental Clearance,Env-0007-2023,2023-01-09,2028-01-08,DGMS,Extracted,Verified,/documents/environmental_clearance/CG-001/0007.pdf,4984,Rajesh Kumar,2023-01-27 00:00:00
DOC-00008,,Safety Certificate,Saf-0008-2023,2022-08-24,2024-08-23,State PCB,Extracted,Expired,/documents/safety_certificate/global/0008.pdf,2926,Rajesh Kumar,2022-08-30 00:00:00
DOC-00009,JH-003,Mining Lease,Min-0009-2023,2022-04-26,2024-04-25,State PCB,Extracted,Expired,/documents/mining_lease/JH-003/0009.pdf,4043,Sita Devi,2022-05-22 00:00:00
DOC-00010,OD-002,Explosives Licence,Exp-0010-2023,2022-04-19,2025-04-18,State Government,Pending,Expired,/documents/explosives_licence/OD-002/0010.pdf,1705,Sita Devi,2022-05-06 00:00:00
DOC-00011,CG-001,Mining Lease,Min-0011-2023,2023-03-14,2026-03-13,DGMS,Extracted,Expired,/documents/mining_lease/CG-001/0011.pdf,3171,Sita Devi,2023-03-18 00:00:00
DOC-00012,OD-002,Fire Safety Certificate,Fir-0012-2023,2022-01-30,2025-01-29,State PCB,Extracted,Expired,/documents/fire_safety_certificate/OD-002/0012.pdf,4774,Sita Devi,2022-02-08 00:00:00
DOC-00013,CG-001,Mining Lease,Min-0013-2023,2023-03-05,2027-03-04,DGMS,Extracted,Verified,/documents/mining_lease/CG-001/0013.pdf,4020,Rajesh Kumar,2023-03-27 00:00:00
DOC-00014,CG-002,Environmental Clearance,Env-0014-2023,2022-04-02,2024-04-01,DGMS,Extracted,Expired,/documents/environmental_clearance/CG-002/0014.pdf,4913,Rajesh Kumar,2022-04-24 00:00:00
