grievance_id,mine_id,grievance_date,category,priority,raised_by,raised_by_type,description,description_hindi,assigned_officer,assigned_date,sla_days,resolution_status,resolution_date,resolution_notes
GRV-0000,OD-002,2023-08-14,Working Conditions,Critical,Worker-0202,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-08-14,2,In Progress,,
GRV-0001,JH-001,2023-10-03,Wages,Medium,Community Member-0249,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-10-06,7,In Progress,,
GRV-0002,OD-001,2023-07-20,Wages,Medium,Worker-0497,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-07-21,7,Escalated,,
GRV-0003,CG-001,2023-09-17,Community,Critical,Community Member-0270,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-09-19,2,Open,,
GRV-0004,JH-002,2023-06-24,Environment,Low,Worker-0084,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-06-24,14,Open,,
GRV-0005,CG-002,2023-07-12,Environment,Low,Community Member-0914,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-07-13,14,Resolved,2023-07-22,Resolved: Poor ventilation
GRV-0006,OD-002,2023-07-04,Safety,Medium,Worker-0025,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-07-06,7,Open,,
GRV-0007,CG-001,2023-11-27,Community,Medium,Worker-0663,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-11-27,7,Rejected,,
GRV-0008,JH-001,2023-10-06,Working Conditions,Critical,Worker-0353,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-10-06,2,In Progress,,
GRV-0009,JH-003,2023-06-20,Environment,Low,Worker-0499,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-06-22,14,Open,,
GRV-0010,JH-002,2023-08-16,Working Conditions,Medium,Community Member-0236,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-08-19,7,Open,,
GRV-0011,JH-003,2023-05-06,Environment,Medium,Worker-0765,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-05-08,7,In Progress,,
GRV-0012,JH-001,2023-03-06,Working Conditions,Critical,Worker-0529,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-03-08,2,Resolved,2023-03-07,Resolved: Delayed wage payment
GRV-0013,OD-002,2023-11-02,Wages,High,Worker-0216,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-11-02,3,Resolved,2023-11-04,Resolved: Unsafe working conditions
GRV-0014,OD-002,2023-03-28,Environment,Critical,Community Member-0062,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-03-29,2,In Progress,,
GRV-0015,JH-001,2023-09-10,Safety,Medium,Worker-0575,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-09-11,7,Open,,
GRV-0016,JH-003,2023-10-16,Environment,High,Worker-0716,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-10-17,3,Rejected,,
GRV-0017,JH-002,2023-12-30,Community,Low,Community Member-0162,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-12-31,14,In Progress,,
GRV-0018,OD-002,2023-07-03,Environment,Low,Community Member-0047,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-07-06,14,In Progress,,
GRV-0019,JH-003,2023-03-02,Environment,Low,Community Member-0465,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-03-03,14,In Progress,,
GRV-0020,JH-003,2023-02-14,Working Conditions,Low,Worker-0468,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-02-14,14,Resolved,2023-02-22,Resolved: Unsafe working conditions
GRV-0021,OD-002,2023-06-06,Safety,Low,Worker-0139,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-06-09,14,Resolved,2023-06-07,Resolved: Delayed wage payment
GRV-0022,OD-002,2023-04-11,Safety,Medium,Community Member-0666,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-04-12,7,Resolved,2023-04-15,Resolved: Delayed wage payment
GRV-0023,OD-002,2023-11-23,Working Conditions,Low,Community Member-0902,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-11-25,14,Resolved,2023-12-07,Resolved: Delayed wage payment
GRV-0024,OD-001,2023-01-29,Environment,Low,Worker-0829,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-30,14,Resolved,2023-02-07,Resolved: Delayed wage payment
GRV-0025,OD-001,2023-01-21,Safety,Critical,Worker-0567,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-01-21,2,Resolved,2023-01-22,Resolved: Delayed wage payment
GRV-0026,OD-002,2023-02-27,Wages,Medium,Community Member-0437,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-02-27,7,In Progress,,
GRV-0027,JH-002,2023-02-26,Environment,High,Community Member-0071,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-02-27,3,Open,,
GRV-0028,JH-003,2023-07-01,Wages,Critical,Community Member-0949,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-07-02,2,Resolved,2023-07-03,Resolved: Excessive dust
GRV-0029,OD-001,2023-08-26,Environment,Medium,Community Member-0635,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-08-26,7,Open,,
GRV-0030,JH-001,2023-10-23,Community,Critical,Community Member-0852,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-10-26,2,Resolved,2023-10-24,Resolved: Noise pollution
GRV-0031,JH-002,2023-08-28,Environment,Low,Community Member-0527,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-08-28,14,In Progress,,
GRV-0032,OD-002,2023-03-05,Safety,High,Community Member-0487,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-03-06,3,In Progress,,
