mine_id,equipment_type,shift,operating_hours,temperature_C,vibration,pressure_bar,dust_level_ug,rpm,oil_temp_C,load_percentage,machine_failure
JH-001,Excavator,Night,3807.95,66.27,3.0704,80.22,114.91,1548.5,79.14,84.92,0
OD-002,Drill Rig,Afternoon,9512.07,61.4,2.5968,66.43,274.43,1355.45,82.9,50.17,0
CG-001,Crusher,Afternoon,7346.74,50.11,2.0455,123.79,194.79,2146.31,70.24,94.99,0
CG-001,Crusher,Night,6026.72,60.06,3.5512,85.88,253.72,1276.52,77.68,48.48,0
JH-002,Loader,Night,1644.58,49.28,1.8263,87.96,247.94,1685.64,70.57,79.35,0
CG-001,Excavator,Morning,1644.35,48.29,2.931,114.84,159.59,1288.31,79.64,81.36,0
OD-001,Loader,Afternoon,675.03,54.96,2.8539,79.53,28.59,1750.56,66.93,54.73,0
OD-001,Drill Rig,Afternoon,8675.14,58.21,3.2956,103.98,166.35,1368.13,76.14,65.16,0
OD-001,Dumper,Night,6051.04,60.53,4.352,100.37,18.03,1813.08,82.76,40.36,0
CG-001,Drill Rig,Night,7109.92,73.75,3.3257,98.37,104.77,1628.87,74.51,63.39,0
JH-002,Loader,Afternoon,303.79,52.52,3.845,123.91,46.99,2043.77,78.47,83.22,0
CG-002,Dumper,Morning,9702.11,62.95,1.0305,109.32,131.94,1563.39,80.22,66.31,0
JH-002,Loader,Morning,8341.18,61.77,3.4219,119.58,36.93,1668.91,88.53,70.77,0
CG-001,Dumper,Morning,2202.16,50.87,2.8222,95.0,126.49,1119.89,80.29,53.59,0
OD-002,Drill Rig,Morning,1900.07,61.11,3.2735,85.52,19.8,1047.37,77.04,105.6,0
CG-001,Crusher,Night,1915.7,75.04,2.0864,120.78,102.07,1706.56,83.0,48.95,0
JH-002,Loader,Morning,3112.0,62.8,4.833,88.59,125.33,1460.64,85.06,33.3,0
JH-001,Crusher,Morning,5295.09,63.4,3.0809,102.47,72.33,1730.06,71.29,89.42,0
OD-001,Crusher,Night,4376.26,49.42,1.8731,108.47,288.25,1348.21,71.81,102.16,0
JH-002,Crusher,Night,2983.17,89.53,2.0459,84.61,94.28,1575.4,80.94,51.16,0
JH-001,Loader,Morning,6157.34,50.27,4.269,84.67,186.88,1272.72,90.38,66.11,0
JH-001,Excavator,Night,1480.99,34.98,2.6048,94.57,90.94,1641.34,77.44,56.34,0
JH-002,Loader,Morning,2992.23,72.9,2.7119,114.88,240.77,1221.23,87.78,97.25,0
JH-001,Crusher,Morning,3726.98,58.28,2.4624,106.92,208.72,1535.31,89.74,55.69,0
OD-001,Loader,Morning,4615.09,55.45,4.5067,72.93,238.26,1324.9,90.6,35.71,0
CG-001,Dumper,Afternoon,7873.24,51.82,3.4596,139.06,57.32,1882.37,68.43,86.18,0
OD-002,Drill Rig,Afternoon,2076.77,88.08,1.5015,107.6,111.83,1286.4,91.04,103.43,0
JH-002,Crusher,Afternoon,5190.92,65.32,1.6688,91.53,68.68,1324.39,90.2,97.53,0
OD-001,Drill Rig,Morning,5964.9,68.25,2.7245,96.95,214.5,1415.92,84.84,75.27,0
OD-001,Crusher,Night,559.86,62.44,1.9709,95.16,206.93,1774.91,77.53,66.59,0
JH-001,Drill Rig,Night,6114.69,64.05,0.9229,92.56,292.82,1487.89,79.04,42.57,0
CG-001,Loader,Night,1788.19,80.98,1.8729,123.31,271.66,1448.14,81.89,57.0,0
JH-001,Dumper,Night,744.01,56.24,2.3649,147.53,281.66,1394.9,84.75,71.0,1
JH-002,Loader,Night,9493.97,38.15,2.2255,89.74,178.05,1570.26,71.5,31.69,0
OD-001,Drill Rig,Morning,9659.76,73.02,3.8977,90.85,53.08,1320.33,70.82,38.3,0
OD-002,Excavator,Afternoon,8103.13,67.45,0.8893,98.2,280.63,1260.98,91.88,74.3,0
