mine_id,equipment_type,shift,maintenance_status,operating_hours,temperature_C,vibration,pressure_bar,dust_level_ug,rpm,oil_temp_C,load_percentage,humidity_pct,bearing_temp_C,machine_failure
OD-002,Drill Rig,Night,On Schedule,8388.0,61.46,1.944,78.37,116.84,1281.9,64.77,88.33,51.41,74.82,1
JH-001,Loader,Afternoon,Recent,3505.1,79.55,3.2551,91.95,183.57,1783.7,88.91,58.32,75.29,81.81,0
JH-002,Crusher,Morning,On Schedule,2799.5,99.62,2.1432,102.24,240.1,1484.9,63.97,44.61,81.09,115.56,0
JH-001,Loader,Night,Overdue,6660.6,51.0,1.5526,,56.76,1751.9,75.63,114.59,48.24,64.73,0
OD-001,Drill Rig,Afternoon,Overdue,8661.7,73.0,1.6193,124.05,105.43,1609.7,68.49,63.48,71.69,96.56,1
OD-002,Dumper,Morning,Overdue,5135.0,40.42,3.8877,113.9,34.34,546.9,69.42,103.83,25.86,47.48,0
JH-001,Drill Rig,Night,Overdue,11771.1,37.93,4.5093,133.56,261.32,1596.5,68.26,43.21,69.36,56.83,1
CG-002,Loader,Afternoon,On Schedule,8249.5,121.95,3.683,94.99,34.63,1627.4,72.31,37.69,81.68,114.98,0
OD-002,Drill Rig,Afternoon,Recent,5823.1,48.61,5.5887,,109.6,1569.6,85.42,67.29,53.58,60.53,1
OD-001,Crusher,Afternoon,Recent,4766.2,48.26,4.3161,120.26,36.87,1482.5,81.87,42.96,51.56,52.94,1
CG-002,Loader,Afternoon,On Schedule,4183.8,66.62,2.9534,145.0,203.48,1337.7,77.38,34.43,85.15,75.28,0
JH-002,Drill Rig,Morning,On Schedule,8775.7,50.14,9.3755,66.28,246.74,1551.1,71.69,107.14,39.93,59.41,1
OD-002,Loader,Afternoon,Overdue,5319.0,,,103.12,257.88,1781.1,69.72,66.13,62.6,70.71,0
OD-001,Drill Rig,Afternoon,Overdue,810.2,72.33,2.1297,79.1,89.83,1757.9,81.75,113.15,88.9,86.31,0
CG-001,Loader,Afternoon,Overdue,4836.7,72.24,3.7385,96.94,35.59,,96.86,61.02,28.03,77.68,0
OD-001,Excavator,Morning,On Schedule,8882.1,102.0,1.9338,127.88,59.82,1631.7,84.28,71.63,53.39,106.43,0
CG-001,Conveyor,Night,On Schedule,2271.7,75.17,3.0926,92.44,198.99,1079.6,79.51,30.7,44.72,88.24,0
CG-002,Drill Rig,Night,Recent,2187.9,63.63,3.4616,98.1,204.18,1198.8,71.46,70.01,29.02,72.76,0
CG-001,Dumper,Morning,On Schedule,6425.5,67.15,3.0166,111.54,131.85,,70.96,83.98,33.96,85.23,0
OD-001,Crusher,Morning,On Schedule,6428.7,76.74,1.9663,127.25,281.31,1956.5,79.71,64.88,53.52,88.89,0
OD-001,Loader,Night,Overdue,7649.4,93.74,6.4719,98.07,220.78,1356.2,70.88,80.28,84.1,,0
CG-002,Conveyor,Night,Recent,10208.2,54.79,1.422,105.27,133.34,1472.3,69.25,64.14,70.95,65.84,1
CG-001,Drill Rig,Night,Overdue,8721.0,63.47,2.3939,144.26,83.95,,,101.47,41.59,75.61,1
JH-001,Dumper,Morning,On Schedule,7371.2,81.29,1.7367,110.99,218.97,1653.4,94.17,75.47,35.68,59.21,1
JH-002,Excavator,Night,On Schedule,8697.1,37.17,3.0156,130.53,86.88,1984.9,98.86,30.28,92.22,47.46,1
JH-002,Dumper,Afternoon,On Schedule,3943.2,71.98,2.653,128.63,78.69,1539.3,79.04,27.27,71.48,82.87,0
OD-001,Conveyor,Afternoon,On Schedule,4405.3,50.17,2.9842,86.19,68.58,1741.6,82.43,100.58,57.97,67.0,1
JH-002,Conveyor,Afternoon,On Schedule,2816.3,44.89,,131.04,90.42,1021.3,,37.76,26.67,50.23,0
CG-002,Conveyor,Afternoon,On Schedule,3595.2,74.43,2.5633,91.86,177.9,1543.1,80.21,63.45,49.5,77.25,0
CG-002,Loader,Night,Overdue,7608.6,62.09,1.7614,86.71,162.38,1867.7,88.39,67.78,83.87,65.61,0
JH-002,Crusher,Morning,On Schedule,1196.0,81.06,3.4156,108.99,88.7,1979.3,85.99,27.27,73.76,97.25,1
JH-001,Drill Rig,Morning,Recent,5261.0,47.76,1.6501,130.52,73.38,1442.8,86.4,43.36,47.6,67.17,0
CG-002,Dumper,Morning,Recent,5227.3,75.63,4.8889,62.36,64.28,1351.4,85.62,37.61,38.3,93.31,0
OD-001,Loader,Morning,On Schedule,5974.9,50.91,1.302,102.26,163.59,1937.8,,103.27,66.22,69.02,0
CG-002,Loader,Afternoon,Overdue,5167.4,123.53,2.9306,111.76,164.39,1631.9,72.15,41.13,94.12,104.54,0
CG-002,Dumper,Morning,On Schedule,3815.9,42.13,4.4647,,261.71,,91.69,59.17,86.16,40.12,1
JH-001,Crusher,Morning,On Schedule,5173.6,58.7,7.6746,,93.02,1256.3,89.29,32.05,28.38,70.49,0
CG-002,Crusher,Afternoon,Overdue,10731.3,50.23,3.8394,127.11,41.6,1061.8,68.39,52.54,80.9,62.38,1
CG-001,Dumper,Afternoon,Overdue,11335.5,46.58,5.3724,118.64,86.8,1044.9,67.53,60.32,64.48,58.78,1
CG-001,Crusher,Night,Overdue,6071.9,63.01,4.2552,59.58,146.37,2148.0,88.12,25.71,90.48,,0
CG-001,Drill Rig,Afternoon,Overdue,7525.0,,2.5347,123.05,202.56,1506.8,63.04,97.15,82.08,85.71,1
CG-002,Conveyor,Afternoon,Recent,1475.9,57.26,1.745,83.86,103.3,1010.2,82.86,86.17,77.92,61.97,0
CG-002,Crusher,Night,On Schedule,3875.7,46.06,3.6868,93.81,198.12,1746.9,84.92,46.22,21.93,52.23,0
CG-001,Excavator,Night,Recent,5036.4,65.44,3.4797,124.87,154.12,1362.9,90.98,53.93,28.12,70.42,0
CG-002,Crusher,Night,Recent,10409.1,100.25,4.9922,134.96,76.34,1669.0,93.26,42.85,93.05,105.25,1
JH-001,Drill Rig,Morning,Overdue,3080.4,66.95,2.63,108.78,148.34,1116.1,86.97,99.94,52.62,77.4,0
OD-002,Conveyor,Morning,On Schedule,5848.1,72.32,3.8902,67.89,42.38,928.1,93.31,40.44,79.82,,0
OD-001,Loader,Night,Overdue,11828.2,66.33,3.9608,118.21,306.49,608.4,107.0,88.6,28.26,73.59,1
CG-002,Excavator,Morning,On Schedule,6281.9,48.36,,109.75,101.0,1507.4,77.38,100.59,34.87,64.19,0
CG-001,Drill Rig,Morning,On Schedule,7393.4,48.68,2.9278,,269.86,1795.7,,110.67,77.92,58.74,0
OD-002,Conveyor,Night,On Schedule,1535.5,75.17,1.616,64.02,291.94,1485.7,,91.45,71.95,82.18,0
JH-002,Dumper,Morning,Recent,9933.5,65.82,6.9883,74.03,95.55,1027.1,76.79,81.56,57.68,76.98,1
OD-001,Loader,Morning,Recent,7276.4,64.39,1.5552,76.62,61.16,,73.25,46.16,67.46,70.86,0
JH-001,Crusher,Night,Overdue,6586.3,65.53,2.6278,146.83,224.63,1613.6,72.61,107.41,76.61,,0
CG-001,Crusher,Night,Overdue,4178.9,64.06,7.8893,75.49,170.6,1559.9,80.41,37.61,85.05,75.86,0
